STATION,NAME,DATE,PRCP,SNOW,SNWD
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/14/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/15/16,0.25,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/16/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/17/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/18/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/19/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/20/16,0.23,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/21/16,0.2,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/22/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/23/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/24/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/25/16,0.06,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/28/16,0,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/29/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/30/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",3/31/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/1/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/2/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/3/16,0.86,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/4/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/5/16,0.37,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/7/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/23/16,0.3,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/24/16,0.84,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/25/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/28/16,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",4/30/16,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/1/16,0.01,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/3/16,0.8,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/4/16,0.63,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/5/16,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/6/16,1.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/7/16,0.77,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/8/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/9/16,0,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/10/16,0.58,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/11/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/12/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/13/16,0.01,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/14/16,0.47,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/15/16,0.04,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/16/16,0.06,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/17/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/18/16,0.95,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/19/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/20/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/23/16,1.13,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/24/16,0.06,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/25/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/29/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/30/16,0.21,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/7/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/8/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/9/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/10/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/11/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/12/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/13/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/14/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/15/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/16/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/17/16,1.05,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/18/16,0.13,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/19/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/20/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/21/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/22/16,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/23/16,0.05,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/24/16,0.55,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/25/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",6/29/16,0.51,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/1/16,0.2,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/2/16,1.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/3/16,1.5,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/7/16,0.12,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/8/16,0.47,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/9/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/10/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/17/16,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/18/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/19/16,0.61,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/20/16,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/21/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/22/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/23/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/24/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/25/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/29/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/30/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",7/31/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/1/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/2/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/3/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/4/16,0.53,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/5/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/7/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/8/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/9/16,0.52,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/10/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/11/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/12/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/14/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/15/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/16/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/17/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/18/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/19/16,0.01,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/20/16,0.05,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/21/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/22/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/23/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/24/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/25/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/30/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",8/31/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/1/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/2/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/3/16,0.51,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/4/16,0.32,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/5/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/7/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/8/16,0.62,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/9/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/10/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/11/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/12/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/13/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/14/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/15/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/16/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/17/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/18/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/19/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/20/16,3.49,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/21/16,1.8,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/22/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/23/16,0.21,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/24/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/25/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/28/16,0.1,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",9/29/16,0.62,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/1/16,0,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/2/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/3/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/4/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/5/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/6/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/7/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/8/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/9/16,6.75,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/10/16,0.12,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/11/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/12/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/13/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/14/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/15/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/16/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/17/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/18/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/19/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/21/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",10/22/16,0.27,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",11/25/16,0.17,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",11/26/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",11/27/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",11/28/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",11/29/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",11/30/16,0.2,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/1/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/2/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/3/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/4/16,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/5/16,0.5,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/6/16,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/25/16,0.38,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",12/26/16,0,0,
